unix,low,high,open,close,volume,date,vol_fiat
1599091200,2.4302,3.143,3.143,2.5794,7395161.07,2020-09-03,19075078.463958003
1599004800,2.94,3.4725,3.4403,3.1425,3895268.08,2020-09-02,12240879.9414
1598918400,3.1903,3.522,3.2432,3.4403,3510084.12,2020-09-01,12075742.398036001
1598832000,3.242,3.468,3.385,3.2452,2758535.01,2020-08-31,8951997.814452
1598745600,3.3287,3.4343,3.35,3.385,1806976.84,2020-08-30,6116616.603399999
1598659200,3.2145,3.4387,3.2688,3.3526,1991439.07,2020-08-29,6676498.626081999
1598572800,3.1382,3.3145,3.2259,3.2604,2084292.47,2020-08-28,6795627.169188
1598486400,3.11,3.4196,3.3665,3.2259,5170427.85,2020-08-27,16679283.201315
1598400000,3.2985,3.5113,3.4355,3.3711,2681609.1,2020-08-26,9039972.437010001
1598313600,3.2935,3.7066,3.6833,3.4361,3944482.55,2020-08-25,13553636.490055
1598227200,3.4443,3.8085,3.5175,3.6806,4388055.68,2020-08-24,16150677.735808
1598140800,3.3613,3.6242,3.5742,3.5183,2719957.29,2020-08-23,9569625.733407
1598054400,3.27,3.62,3.3876,3.5771,4355080.18,2020-08-22,15578557.311878
1597968000,3.33,3.9199,3.8606,3.3916,7227439.47,2020-08-21,24512583.706451997
1597881600,3.5018,3.9418,3.629,3.8561,4843517.83,2020-08-20,18677089.104263
1597795200,3.47,3.9346,3.8395,3.6313,5634762.94,2020-08-19,20461514.664022002
1597708800,3.7,4.1723,4.0428,3.84,4623994.11,2020-08-18,17756137.382400002
1597622400,4.018,4.2559,4.241,4.042,4218895.77,2020-08-17,17052776.702339996
1597536000,4.0066,4.3895,4.0674,4.241,6298423.38,2020-08-16,26711613.554579996
1597449600,3.91,4.3149,4.1143,4.068,6419298.41,2020-08-15,26113705.931879997
1597363200,4.0112,4.2387,4.1419,4.1147,5206058.07,2020-08-14,21421367.140629
1597276800,3.9329,4.49,4.3658,4.142,8035060.77,2020-08-13,33281221.709340002
1597190400,3.63,4.4705,4.0075,4.3612,9720950.04,2020-08-12,42395007.314448
1597104000,3.753,4.43,4.2547,4.0101,10724477.9,2020-08-11,43006228.826790005
1597017600,3.5001,4.35,3.6975,4.2544,10650683.61,2020-08-10,45312268.350384004
1596931200,3.2673,3.783,3.3843,3.6976,6862092.11,2020-08-09,25373271.785936
1596844800,3.032,3.4892,3.0825,3.383,5122560.16,2020-08-08,17329621.02128
1596758400,2.97,3.29,3.2296,3.0851,4150729.77,2020-08-07,12805416.413427
1596672000,3.104,3.4,3.1133,3.2296,4103025.09,2020-08-06,13251129.830664
1596585600,3.0751,3.2645,3.2468,3.1166,3010018.21,2020-08-05,9381022.753286
1596499200,3.0732,3.3165,3.0755,3.2464,7438529.37,2020-08-04,24148441.746768
1596412800,2.842,3.091,2.8937,3.0756,4742887.84,2020-08-03,14587225.840704
1596326400,2.7,3.1398,3.0439,2.8893,6453539.94,2020-08-02,18646212.948642
1596240000,2.8261,3.079,2.8447,3.0442,3894443.54,2020-08-01,11855465.024468001
